D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_18_234.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_18_234.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_18_234.jpg, 0, 0, 0, 7.850255E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_18_337.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_18_337.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_18_337.jpg, 0, 0, 0, 7.824969E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_18_439.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_18_439.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_18_439.jpg, 0, 0, 0, 7.845889E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_18_540.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_18_540.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_18_540.jpg, 0, 0, 0, 7.94501E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_18_640.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_18_640.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_18_640.jpg, 0, 0, 0, 7.868114E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_18_743.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_18_743.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_18_743.jpg, 0, 0, 0, 8.048781E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_18_844.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_18_844.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_18_844.jpg, 0, 0, 0, 7.838405E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_18_946.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_18_946.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_18_946.jpg, 0, 0, 0, 7.8347E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_19_046.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_19_046.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_19_046.jpg, 0, 0, 0, 7.794787E-05
D:\data_udacity_seft_driving\IMG\center_2024_05_17_15_38_19_147.jpg, D:\data_udacity_seft_driving\IMG\left_2024_05_17_15_38_19_147.jpg, D:\data_udacity_seft_driving\IMG\right_2024_05_17_15_38_19_147.jpg, 0, 0, 0, 7.878966E-05
